1,0,1021,515,5,500,41496,88,88,
2,0,1021,515,5,502,41400,88,88,
3,0,1021,515,5,504,41312,88,88,
4,6,1021,515,7,500,41286,84,84,
5,6,1021,515,7,502,41170,84,84,
6,9,1021,515,7,502,41162,84,84,
7,247,1021,515,6,508,40926,84,84,
8,247,1021,515,6,504,40892,84,84,
9,247,1021,515,6,504,40832,84,84,
10,248,1021,515,6,507,40752,84,84,
11,248,1021,515,6,507,40692,84,84,
12,248,1021,515,5,504,40610,84,84,
13,248,1021,515,5,505,40550,84,84,
14,248,1021,515,5,506,40506,84,84,
15,252,1021,515,5,503,40484,84,84,
16,252,1021,515,5,503,40424,84,84,
17,253,1021,515,5,504,40392,84,84,
18,264,1021,515,5,504,40388,84,84,
19,265,1021,515,5,503,40364,84,84,
20,269,1021,515,5,502,40274,84,84,
21,326,1021,515,5,501,40246,84,84,
22,327,1021,515,5,502,40214,84,84,
23,833,1021,515,7,514,39912,80,80,
24,833,1021,515,7,515,39852,80,80,
25,833,1021,515,6,514,39828,80,80,
26,834,1021,515,6,513,39738,80,80,
27,837,1021,515,6,513,39702,80,80,
28,838,1021,515,6,514,39610,80,80,
29,848,1021,515,6,514,39468,80,80,
30,848,1021,515,6,516,39316,80,80,
31,849,1021,515,6,517,39224,80,80,
32,849,1021,515,6,518,39164,80,80,
33,893,1021,515,6,515,39106,80,80,
34,894,1021,515,6,517,39014,80,80,
35,896,1021,515,5,519,38712,80,80,
36,1405,1021,515,7,524,38384,76,76,
37,1408,1021,515,6,528,37990,76,76,
38,1411,1021,515,6,529,37930,76,76,
