1,2,9499,9499,1,125,10000,4200,192,192,
2,5,9501,9495,2,125,10010,4200,192,192,
3,10,9501,9495,2,125,10010,4200,192,192,
4,13,9501,9495,2,125,10010,4200,192,192,
5,14,9501,9495,2,125,10010,4200,192,192,
6,14,9501,9495,2,125,10010,4200,192,192,
7,14,9501,9495,2,125,10010,4200,192,192,
8,16,9501,9495,2,125,10010,4200,192,192,
9,16,9501,9495,2,125,10010,4200,192,192,
10,18,9502,9495,2,125,10006,4200,184,184,
11,22,9502,9495,2,125,10006,4200,184,184,
12,23,9502,9495,2,125,10006,4200,184,184,
13,24,9502,9495,2,125,10006,4200,184,184,
14,24,9502,9495,2,125,10006,4200,184,184,
15,34,9502,9495,2,125,10006,4200,184,184,
16,38,9502,9495,2,125,10006,4200,184,184,
17,38,9502,9495,2,125,10006,4200,184,184,
18,38,9500,9495,2,125,10020,4200,192,192,
19,38,9500,9495,2,125,10020,4200,192,192,
20,39,9500,9495,2,125,10020,4200,192,192,
21,39,9500,9495,2,125,10020,4200,192,192,
22,39,9500,9495,2,125,10020,4200,192,192,
23,39,9500,9495,2,125,10020,4200,192,192,
24,40,9500,9495,2,125,10020,4200,192,192,
25,40,9500,9495,2,125,10020,4200,192,192,
26,40,9501,9495,2,125,10012,4200,176,176,
27,41,9501,9495,2,125,10012,4200,176,176,
28,41,9501,9495,2,125,10012,4200,176,176,
29,41,9501,9495,2,125,10012,4200,176,176,
30,42,9501,9495,2,125,10012,4200,176,176,
31,42,9501,9495,2,125,10012,4200,176,176,
32,42,9501,9495,2,125,10012,4200,176,176,
33,42,9501,9495,2,125,10012,4200,176,176,
34,43,9504,9462,2,125,10050,4200,192,192,
35,43,9501,9457,2,125,10050,4200,192,192,
36,44,9501,9491,2,125,10010,4200,192,192,
37,44,9501,9456,2,125,10050,4200,192,192,
38,44,9501,9491,2,125,10010,4200,192,192,
39,45,9501,9455,2,125,10050,4200,192,192,
40,45,9501,9491,2,125,10010,4200,192,192,
41,54,9501,9491,2,125,10010,4200,192,192,
42,55,9501,9454,2,125,10060,4200,192,192,
43,56,9501,9454,2,125,10060,4200,192,192,
44,56,9501,9491,2,125,10010,4200,192,192,
45,56,9501,9454,2,125,10060,4200,192,192,
46,56,9501,9491,2,125,10010,4200,192,192,
47,57,9504,9462,2,125,10050,4200,192,192,
48,57,9501,9491,2,125,10010,4200,192,192,
49,57,9501,9491,2,125,10010,4200,192,192,
50,57,9503,9491,2,125,10012,4200,184,184,
51,58,9503,9491,2,125,10012,4200,184,184,
52,58,9501,9457,2,125,10050,4200,192,192,
53,58,9503,9491,2,125,10012,4200,184,184,
54,58,9503,9491,2,125,10012,4200,184,184,
55,59,9501,9456,2,125,10050,4200,192,192,
56,59,9503,9491,2,125,10012,4200,184,184,
57,59,9501,9455,2,125,10050,4200,192,192,
58,59,9503,9491,2,125,10012,4200,184,184,
59,59,9501,9454,2,125,10060,4200,192,192,
60,60,9503,9491,2,125,10012,4200,184,184,
61,60,9503,9491,2,125,10012,4200,184,184,
62,60,9501,9454,2,125,10060,4200,192,192,
63,60,9503,9491,3,125,10020,4200,192,192,
64,61,9503,9491,3,125,10020,4200,192,192,
65,61,9503,9491,3,125,10020,4200,192,192,
66,61,9504,9462,2,125,10050,4200,192,192,
67,61,9503,9491,3,125,10020,4200,192,192,
68,61,9503,9491,3,125,10020,4200,192,192,
69,62,9503,9491,3,125,10020,4200,192,192,
70,62,9503,9491,3,125,10020,4200,192,192,
71,62,9503,9491,3,125,10020,4200,192,192,
72,62,9501,9457,2,125,10050,4200,192,192,
