1,0,720,1021,384,515,6,692,54764,84,84,
2,28,720,1021,384,515,8,699,54194,80,80,
3,28,720,1021,384,515,8,701,54042,80,80,
4,28,720,1021,384,515,8,706,53624,80,80,
5,28,720,1021,384,515,8,707,53564,80,80,
6,28,720,1021,384,515,8,710,53320,80,80,
7,100,720,1021,384,515,7,714,52994,80,80,
8,100,720,1021,384,515,7,715,52902,80,80,
9,100,720,1021,384,515,7,716,52842,80,80,
10,110,720,1021,384,515,8,721,52424,76,76,
11,110,720,1021,384,515,8,722,52364,76,76,
12,111,720,1021,384,515,8,723,52272,76,76,
13,111,720,1021,384,515,8,725,52180,76,76,
14,112,720,1021,384,515,8,725,52120,76,76,
15,112,720,1021,384,515,8,728,51854,76,76,
16,153,720,1021,384,515,7,729,51794,80,80,
17,153,720,1021,384,515,7,731,51642,80,80,
18,153,720,1021,384,515,7,732,51550,80,80,
19,279,720,1021,384,515,7,736,51224,76,76,
20,280,720,1021,384,515,7,738,51072,76,76,
21,280,720,1021,384,515,7,745,50502,76,76,
22,281,720,1021,384,515,7,747,50350,76,76,
23,281,720,1021,384,515,7,753,49932,76,76,
24,334,720,1021,384,515,8,755,49780,72,72,
25,334,720,1021,384,515,8,762,49210,72,72,
26,335,720,1021,384,515,8,762,49150,72,72,
27,547,631,1021,384,515,8,766,48830,72,72,
28,548,631,1021,384,515,8,770,48586,72,72,
29,548,631,1021,384,515,8,770,48526,72,72,
30,558,627,1021,384,515,8,789,47056,72,72,
31,578,631,1021,384,515,8,799,46246,68,68,
32,700,720,1021,384,515,7,799,46240,72,72,
