1,0,1021,515,3,356,28500,88,88,
2,0,1021,515,4,374,26426,86,86,
3,0,1021,515,4,378,26032,82,82,
4,1,1099,515,5,392,24450,82,82,
5,1,1099,515,5,396,24056,78,78,
6,3,1126,515,5,398,23726,80,80,
7,4,1126,515,5,402,23332,76,76,
8,18,1179,490,5,425,23264,80,80,
9,18,1179,490,5,428,22870,76,76,
10,22,1235,490,5,432,22516,78,78,
11,22,1235,490,5,435,22122,78,78,
12,23,1235,490,5,435,22070,78,78,
13,24,1235,490,5,439,21676,78,78,
14,24,1235,490,5,443,21282,74,74,
15,384,1188,550,6,395,21194,74,74,
16,7220,1258,508,6,431,20754,72,72,
