1,4,7732,2950,5,430,35382,88,88,
2,15,7732,2996,5,425,34980,88,88,
3,33,7732,2996,7,421,34946,84,84,
4,45,7732,2996,7,424,34552,80,80,
5,48,7732,2996,5,425,34492,84,84,
6,54,7732,2996,7,432,34192,80,80,
7,79,7732,2996,5,440,33780,84,84,
8,79,7732,2996,5,443,33386,84,84,
9,80,7732,2996,5,447,32992,84,84,
10,80,7732,2996,5,447,32940,84,84,
11,80,7732,2996,5,451,32546,84,84,
12,109,7732,2996,5,454,32152,80,80,
13,304,8089,2996,5,454,32122,82,82,
14,304,8089,2996,5,458,31728,82,82,
15,304,8089,2996,5,462,31334,82,82,
16,305,8089,2996,5,462,31282,82,82,
17,305,8089,2996,5,466,30888,82,82,
18,361,8089,2996,5,469,30494,78,78,
19,557,8189,2950,6,478,30428,76,76,
